year,player,Tm,mp,g,TS%,USG%,AST%,TRB%,STL%,BLK%,TOV%,OWS,DWS,WS
2023,Emma Cannon,IND,314,30,0.571,0.266,0.081,0.182,0.7,0.6,0.177,0.4,0.2,0.6
2023,Jade Melbourne,SEA,307,29,0.495,0.14800000000000002,0.18600000000000003,0.063,2.0,0.3,0.253,-0.2,0.2,0.0
2023,Maya Caldwell,IND,304,30,0.371,0.14800000000000002,0.092,0.054000000000000006,1.5,0.9,0.22,-0.7,0.1,-0.7
2023,Joyner Holmes,SEA,295,29,0.487,0.16399999999999998,0.157,0.129,1.5,2.3,0.13699999999999998,0.2,0.3,0.5
2023,Gabby Williams,SEA,285,10,0.421,0.18899999999999997,0.23199999999999998,0.07200000000000001,2.6,1.2,0.18100000000000002,-0.3,0.3,-0.1
2023,Shey Peddy,PHO,285,18,0.506,0.16899999999999998,0.193,0.07,2.9,0.0,0.09699999999999999,0.4,0.1,0.5
2023,Stefanie Dolson,NYL,273,23,0.627,0.155,0.14800000000000002,0.094,0.2,1.8,0.221,0.4,0.3,0.7
2023,Cayla George,LVA,273,32,0.356,0.218,0.065,0.12300000000000001,1.8,1.5,0.204,-1.2,0.5,-0.7
2023,Nyara Sabally,NYL,260,33,0.52,0.156,0.038,0.153,0.8,2.2,0.198,0.1,0.4,0.5
2023,Chiney Ogwumike,LAS,212,10,0.476,0.21600000000000003,0.11199999999999999,0.122,3.1,1.3,0.12,-0.1,0.4,0.3
